# JPS / A* · MovingAI .scen 正确性报告   2026-07-04 22:42:47
构建配置（JPS.Core）：斜穿角=禁止
范围：movingai/ 全部，共 1354 个 .scen 文件，每个 全部用例
并行：每张图加载后用 8 线程（CPU 16 的 1/2）共享同一 JpsSystem 跑该图的用例（兼测 JPS 多线程安全）
原生库：JPS.Native.dll 已加载（G:\GitHub\JPS\x64\Release\JPS.Native.dll）→ 每条用例校验「C 版 JPS 路径 == C# 版 JPS 路径」

校验项：
  ① JPS 整数代价 == A* 整数代价（最优性）
  ② JPS 路径合法（相邻/可走/不切角）
  ③ JPS 真实长度 ≈ 官方最优
  ④ C 版 JPS == C# 版 JPS：compact path 与平滑路径均逐点严格一致（强一致）
  ⑤ 随机改图+还原致缓存失效后，冷重扫 == 热结果
列说明：
  n=用例数  pass=三项全过  jFail=JPS无解(A*有解)  subopt=JPS≠A*  inval=路径非法
  refL=比官方长  refS=比官方短  mism=C≠C#(compact 或平滑不一致)  cold=失效重扫≠热结果

------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
bgmaps-map/AR0707SR.map                          120     120      0       0      0      0      0      0      0
bgmaps-map/AR0708SR.map                           99      99      0       0      0      0      0      0      0
bgmaps-map/AR0709SR.map                          190     190      0       0      0      0      0      0      0
bgmaps-map/AR0710SR.map                          100     100      0       0      0      0      0      0      0
bgmaps-map/AR0711SR.map                          580     580      0       0      0      0      0      0      0
bgmaps-map/AR0712SR.map                          148     148      0       0      0      0      0      0      0
bgmaps-map/AR0713SR.map                          140     140      0       0      0      0      0      0      0
da2-map/ca_cave.map                              580     580      0       0      0      0      0      0      0
da2-map/ca_cavern1_haunted.map                  2180    2180      0       0      0      0      0      0      0
da2-map/ca_caverns1.map                         2200    2200      0       0      0      0      0      0      0
da2-map/ca_caverns1_mines.map                   2190    2190      0       0      0      0      0      0      0
da2-map/ca_caverns2.map                         1449    1449      0       0      0      0      0      0      0
------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
------------------------------------------------------------------------------------------------------------
da2-map/ca_caverns2prc.map                      1468    1468      0       0      0      0      0      0      0
da2-map/dr_0_deeproads.map                      3590    3590      0       0      0      0      0      0      0
da2-map/dr_dungeon.map                           960     960      0       0      0      0      0      0      0
da2-map/dr_primevalentrance.map                  860     860      0       0      0      0      0      0      0
da2-map/dr_primevaltomb.map                     2290    2290      0       0      0      0      0      0      0
da2-map/dr_slavers.map                           909     909      0       0      0      0      0      0      0
da2-map/ht_0_hightown.map                       1400    1400      0       0      0      0      0      0      0
da2-map/ht_0_hightown_a2.map                    1370    1370      0       0      0      0      0      0      0
da2-map/ht_0_hightown_a3.map                    1359    1359      0       0      0      0      0      0      0
da2-map/ht_0_hightown_n.map                     1400    1400      0       0      0      0      0      0      0
da2-map/ht_bartrand_n.map                        570     570      0       0      0      0      0      0      0
da2-map/ht_brothel_n.map                         530     530      0       0      0      0      0      0      0
da2-map/ht_chantry.map                           459     459      0       0      0      0      0      0      0
